dir_d,Num_viajes,Hora_llegada_1,Hora_llegada_2,Hora_llegada_3,Hora_llegada_4,Hora_llegada_5,Hora_llegada_6,Hora_llegada_7,Hora_llegada_8,Hora_llegada_9,Hora_llegada_10,Hora_llegada_11,Hora_llegada_12,Hora_llegada_13,Hora_llegada_14,Hora_llegada_15,Hora_llegada_16,Hora_llegada_17,Hora_llegada_18,Hora_llegada_19,Hora_llegada_20,Hora_llegada_21,Hora_llegada_22,Hora_llegada_23,Num_escuelas,Num_hospitales,Num_iglesias,Num_zonas_tipicas,Superficie_km2,Poblacion,Conexiones_fijas_intenet,M2_areas_verdes,N_micro_empresas,N_pequenas_empresas,N_medianas_empresas,N_grandes_empresas
Pedro Aguirre Cerda,326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Penaflor,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,580,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
Penaflor,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,280,10,0.0,0.0,69.0,102667,22192,537835,3114,699,58,25
